x, y
-0.000058977995590692707, 0.034919991018636326
0.015133472820973697, 0.03473063393458573
0.03175824638759777, 0.03430596512237108
0.046387597770070066, 0.03383249756754734
0.06272309831070169, 0.03311668288301774
0.07881566567901928, 0.032348925978594414
0.09360088747840983, 0.03154344734675548
0.10965132770701978, 0.030694858169298705
0.12594750958392428, 0.029715889529226852
0.14075379495316864, 0.028857869919916172
0.15765379916588262, 0.027913030461791784
0.17427014730456517, 0.02700366739016541
0.19008467555081235, 0.026080832273033455
0.20573631219018998, 0.025108150587530874
0.22102003847612092, 0.024159718583938325
0.23694409728560795, 0.023201556769702866
0.2534452979090896, 0.02222662974328269
0.26879642761855277, 0.02136426914153132
0.2824694929296617, 0.020401466956066164
0.298317722887675, 0.01949779208143103
